id	SRR11961372	SRR11961374	SRR11961376	SRR11961380	SRR11961381	SRR11961383	SRR11961389	SRR11961391	SRR11961392	SRR11961394	SRR11961398	SRR11961400	SRR11961402	SRR11961405	SRR11961407	SRR11961411	SRR11961413	SRR11961425	SRR11961436	SRR11961446	SRR11961448	SRR11961452	SRR11961453	SRR11961457	SRR11961458	SRR11961459
Group	none	adult acne	perioral dermatitis	adult acne	none	perioral dermatitis	adult acne	perioral dermatitis	none	perioral dermatitis	perioral dermatitis	adult acne	adult acne	adult acne	perioral dermatitis	perioral dermatitis	adult acne	none	none	none	none	none	none	none	none	none
OTU_48	0	0	1885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_49	0	0	43	227	0	82	129	112	49	0	0	0	10	26	0	269	97	0	0	0	98	690	0	0	0	41
OTU_50	0	219	77	239	0	111	274	224	0	77	40	7	123	0	388	0	61	0	0	0	0	0	0	0	0	0
OTU_51	53	0	54	0	198	147	341	83	0	0	0	297	0	0	0	0	0	68	0	0	136	116	0	0	334	0
OTU_52	0	0	0	0	0	0	0	0	7	0	133	0	408	1182	27	0	23	0	0	8	19	0	7	4	0	0
OTU_53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1794
OTU_54	6	0	0	0	0	56	1713	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_55	0	97	71	0	0	0	99	0	0	0	0	665	0	0	776	0	0	0	0	0	0	57	0	0	0	0
OTU_56	0	0	0	0	0	1569	0	0	0	0	0	80	0	38	0	0	0	0	0	0	0	0	0	0	0	0
OTU_57	0	0	0	0	0	0	321	49	0	0	0	1089	0	0	58	0	0	0	72	20	0	0	0	0	0	0
OTU_58	369	0	0	25	31	144	0	365	0	0	0	37	0	0	0	27	0	157	0	0	0	352	70	0	0	0
OTU_59	484	51	0	0	0	0	665	16	58	0	0	0	0	51	37	0	0	0	0	0	21	0	0	39	36	0
OTU_60	0	0	0	0	0	0	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1424
OTU_62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815	0	0	0	0	0	0	0	0	526	0
OTU_63	0	0	0	0	0	0	0	0	0	0	1327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_64	0	0	0	111	0	7	0	0	0	0	0	0	114	0	0	1021	0	0	0	0	0	0	0	0	13	0
OTU_65	0	0	0	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_66	0	0	0	0	0	0	0	0	8	0	118	0	318	705	8	0	20	0	0	0	46	0	10	9	0	0
OTU_67	21	0	9	45	0	145	102	41	28	10	6	207	135	168	25	0	49	0	10	141	0	16	14	39	7	0
OTU_68	0	46	26	9	0	0	0	10	0	16	5	2	252	0	711	0	0	0	101	0	0	0	0	0	15	0
OTU_69	0	0	0	0	0	0	0	0	2	0	117	0	286	687	14	0	36	0	0	0	29	0	7	5	0	0
OTU_70	0	0	0	64	13	0	0	0	0	250	0	0	0	0	0	802	8	0	0	0	0	0	0	0	0	0
OTU_71	0	13	0	19	44	190	120	7	0	19	213	7	63	0	118	0	0	0	0	194	0	0	15	42	0	0
OTU_72	0	0	0	0	0	77	252	39	0	0	0	228	127	221	0	0	48	0	0	60	0	0	0	0	0	0
OTU_73	0	0	7	0	0	0	824	93	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0
OTU_74	0	66	104	0	0	152	67	0	0	57	57	25	188	52	114	78	21	0	0	0	0	0	0	0	0	0
OTU_75	0	97	23	139	0	48	119	205	0	56	32	6	54	0	160	0	28	0	0	0	0	0	0	0	0	0
OTU_76	167	0	0	0	0	0	0	0	0	0	0	588	0	0	0	65	0	0	0	0	0	0	0	0	0	141
OTU_77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	0	0	0	0	0	0
OTU_78	0	0	0	0	673	0	0	0	0	0	0	220	0	17	10	0	0	0	0	0	0	0	0	0	0	0
OTU_79	0	0	14	0	0	639	8	0	0	31	27	0	77	0	19	0	6	0	0	0	0	0	17	81	0	0
OTU_80	0	0	0	0	0	0	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_81	0	0	899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_82	0	0	0	0	0	0	629	129	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_83	0	30	148	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	371	18	0	118	0	0	0
OTU_84	80	0	0	0	0	0	0	0	108	0	0	0	0	0	381	0	0	52	0	218	0	0	0	0	0	30
OTU_85	0	0	0	405	0	0	0	0	0	0	0	0	151	0	0	0	311	0	0	0	0	0	0	0	0	0
OTU_86	0	0	0	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_87	296	0	0	0	0	0	0	0	0	0	0	296	0	0	0	37	0	0	0	0	0	0	0	0	0	212
OTU_88	0	0	4	0	122	0	401	166	0	0	0	52	18	31	0	0	0	0	0	0	0	0	0	43	0	0
OTU_89	0	0	0	0	0	0	770	0	0	0	0	0	0	56	0	0	9	0	0	0	0	0	0	0	0	0
OTU_90	0	0	0	0	0	79	147	0	0	0	0	223	112	216	31	0	0	0	0	0	0	0	0	19	0	0
OTU_91	0	0	0	0	0	107	0	0	0	42	0	0	408	0	66	174	0	0	0	0	0	0	0	0	0	0
OTU_92	0	0	0	0	0	0	0	0	0	0	0	0	779	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_93	0	0	0	56	0	0	108	234	0	167	16	48	30	0	0	97	0	0	11	0	0	0	0	0	0	0
OTU_94	0	0	0	0	0	515	0	0	0	0	0	111	0	109	0	0	0	0	0	0	0	0	0	0	0	0
OTU_95	25	0	43	73	41	22	76	27	3	0	0	49	3	12	0	152	96	0	0	0	3	41	10	49	0	3
OTU_96	0	0	181	29	0	0	23	0	0	0	0	0	132	0	326	0	0	0	0	0	4	0	0	13	0	0
OTU_97	0	34	0	0	0	71	0	81	83	0	0	0	0	0	142	0	0	0	0	279	0	0	0	0	0	0
OTU_98	75	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	79	0	0	307	0
OTU_99	0	669	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100	0	0	0	0	0	0	297	0	0	0	0	75	0	0	0	0	51	255	0	0	0	0	0	0	0	0
OTU_101	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
OTU_102	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_103	0	0	36	0	0	0	0	0	0	100	91	0	109	0	56	29	31	0	0	0	25	0	0	129	42	0
OTU_104	0	89	23	55	0	15	29	136	0	16	23	3	101	0	132	0	19	0	0	0	0	0	0	0	0	0
OTU_105	0	0	0	0	0	0	0	97	0	0	0	449	0	0	81	0	0	0	0	0	0	0	0	0	0	0
OTU_106	0	0	0	0	0	0	0	262	0	24	0	0	0	0	0	260	0	0	0	78	0	0	0	0	0	0
OTU_107	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0
OTU_108	0	0	0	0	0	0	598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_109	0	34	58	0	0	188	0	0	0	0	94	0	71	0	0	19	0	0	0	0	0	0	0	123	0	0
OTU_110	14	0	0	0	0	64	46	27	0	0	0	134	78	105	26	0	42	0	0	47	0	0	0	0	0	0
OTU_111	0	0	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_112	0	0	0	0	0	13	0	0	0	0	0	0	0	552	0	0	14	0	0	0	0	0	0	0	0	0
OTU_113	0	20	12	0	68	119	20	17	0	0	61	0	112	0	22	65	0	0	0	13	0	0	0	49	0	0
OTU_114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	25	0	0	0	0	0	0	0	0	0
OTU_115	0	4	172	0	22	69	18	19	0	11	43	0	30	0	62	4	0	0	0	0	0	0	0	77	37	0
OTU_116	41	0	0	0	0	128	0	193	0	0	15	79	0	0	0	49	32	0	0	0	0	0	23	0	0	0
OTU_117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0	0	0	0	0	0	0	0	0	0
OTU_118	0	0	0	0	0	0	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_119	0	0	17	0	0	280	0	0	0	0	0	0	119	0	31	0	0	0	0	51	0	0	0	42	0	0
OTU_120	0	0	0	0	0	0	0	0	0	0	0	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_121	0	0	0	0	0	142	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_122	0	22	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_123	0	0	0	0	0	157	8	0	0	0	0	0	0	117	0	0	9	0	0	0	0	0	0	236	0	0
OTU_124	0	0	376	0	0	38	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_125	0	47	0	0	0	273	0	4	0	7	135	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
OTU_126	0	0	0	10	44	0	0	0	0	438	7	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0
OTU_127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	0	0
OTU_128	0	0	487	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_129	0	0	56	31	124	0	29	0	0	0	67	0	30	39	0	0	0	0	0	0	0	0	0	106	0	0
OTU_130	0	66	0	0	0	76	69	0	0	59	0	0	0	0	146	0	0	0	0	0	8	0	20	36	0	0
OTU_131	0	0	0	0	0	0	0	0	0	168	0	0	45	8	2	0	0	0	0	237	0	0	0	0	18	0
OTU_132	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU_133	0	0	12	0	0	17	211	0	2	0	227	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
OTU_134	0	0	8	0	0	21	15	0	0	34	42	20	109	0	52	0	0	0	0	0	0	0	52	114	0	0
OTU_135	0	0	0	0	0	0	0	0	0	0	74	0	37	0	350	0	0	0	0	0	0	0	0	0	0	0
OTU_136	0	0	0	0	0	0	0	0	0	0	0	0	0	443	0	0	14	0	0	0	0	0	0	0	0	0
OTU_137	0	15	0	3	0	171	12	0	0	0	51	19	126	0	21	26	0	0	0	10	0	0	0	0	0	0
OTU_138	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
