ID	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
Group	LIHC_TP	LIHC_TP	LIHC_TP	LIHC_NT	LIHC_NT	LIHC_NT	BRCA_TP	BRCA_TP	BRCA_TP	BRCA_NT	BRCA_NT	BRCA_NT
ITIH2|3698	11.5941	11.8248	12.3502	11.6218	11.2751	11.0374	0.824102	0.50123	0.86164	7.44567	1.58093	0.149823
APOC1|341	11.5848	11.689	11.2052	12.2415	12.1695	12.326	6.63414	7.68022	7.09077	6.608	6.63184	5.86166
CYP3A4|1576	2.33277	5.60947	8.98832	12.2841	11.385	11.6379	1.00544	0.592568	0.592568	0.897781	1.65765	3.12373
MGP|4256	6.95273	7.83795	6.286	6.35263	6.32615	6.16752	7.25181	8.93188	10.7088	12.2396	11.2852	9.64557
PLA2G2A|5320	12.2316	4.27476	10.9691	8.3163	7.95156	8.32627	2.25015	3.14896	3.47637	8.00871	7.10413	7.15184
AKR1B10|57016	10.9199	12.2281	5.84064	5.0876	3.50064	6.58479	1.65765	1.12198	2.71773	5.25476	5.97932	5.73349
GC|2638	10.7076	11.2347	12.2189	12.1265	11.7744	11.8461	0	0	0	0	0	0
EPHX1|2052	9.38345	12.0795	12.2042	10.9705	10.7468	11.0205	7.19604	8.0297	8.06403	8.12292	9.08689	9.56968
MT2A|4502	8.21419	8.47031	7.57968	11.6727	11.4192	12.1881	7.5933	7.74232	7.98327	9.35539	7.88614	7.48066
COL3A1|1281	8.1568	9.74578	7.32647	8.87333	8.16707	9.0027	10.3609	11.1518	12.1867	10.5942	10.2043	10.6852
FABP1|2168	12.1581	9.53025	10.1011	11.1093	11.4838	11.6003	0	0	0	0.592568	0	1.29233
AKR1C1|1645	10.7245	12.1448	6.91572	9.4916	9.46553	10.2821	3.18484	5.11746	4.51689	6.97916	8.93962	9.50002
FTH1|2495	11.8648	12.0923	10.7153	10.6227	10.3959	11.1204	10.6138	10.5015	10.5399	10.6704	11.1084	11.2571
ACTG1|71	11.3112	11.071	10.5276	10.6648	11.1458	10.7668	10.8782	11.5245	12.0864	10.9351	11.0091	10.379
APOC2|344	11.8916	11.5362	12.0754	11.231	10.9292	11.6797	4.57556	5.76873	4.86845	4.95804	5.25392	2.93339
EEF1A1|1915	11.5161	12.072	10.7862	11.1476	11.256	11.4717	10.317	10.9542	11.5246	11.9792	11.874	11.6223
CFB|629	10.3026	11.3857	12.0403	11.9605	11.6674	11.9199	7.37414	5.97525	9.11909	8.62181	8.4114	6.60981
SERPINC1|462	9.07406	12.0399	11.9905	11.8265	11.5532	11.3683	1.22837	1.68478	1.65765	0.592568	2.404	1.25857
CFH|3075	11.2517	11.2814	12.0163	11.1618	10.9358	11.2622	5.85537	6.93908	7.14149	7.64623	7.54744	8.91864
SQSTM1|8878	11.9893	11.7265	9.62296	9.4931	10.0737	10.2165	9.18142	9.21191	9.24623	8.83803	9.61372	9.50089
SERPING1|710	10.397	11.9724	11.2075	11.9527	11.6831	11.7598	7.50817	8.71839	8.8394	9.65558	9.75057	10.0527
ITIH4|3700	11.1611	11.2627	10.8893	11.9701	11.8471	11.6665	4.08663	6.31723	4.06327	4.83273	4.14115	3.10639
ADH1B|125	8.16052	10.6706	11.2587	11.9411	11.8955	11.9638	5.33821	7.00125	5.03749	8.24635	9.63906	11.0518
UGT2B4|7363	10.6411	11.9592	10.2357	10.3964	9.76187	10.3877	0	0	0	2.7492	3.46502	2.83627
HMGCS2|3158	9.75852	10.7484	11.9275	11.2518	11.3624	11.3789	1.22773	0	8.05803	8.07745	9.39096	0.592568
SEPP1|6414	10.3477	11.515	11.2395	11.7787	11.7706	11.9138	7.94762	7.4498	8.62767	9.54578	9.64235	10.1484
PCK1|5105	7.65539	7.374	7.53369	11.6492	9.88129	11.9123	0.824102	3.63338	0	3.28908	7.3812	8.07728
P4HB|5034	11.7658	11.8118	11.9122	11.1221	10.2995	11.0556	10.4434	10.0646	10.6147	9.77342	9.94281	9.43832
ADH4|127	4.78238	9.5364	9.47155	11.5727	11.1269	11.8892	0	2.3219	1.14613	4.74367	4.482	1.78955
C1S|716	10.3308	11.589	11.4298	11.8578	11.6395	11.8125	6.97715	8.65013	9.18409	9.66348	9.82536	9.90374
STAT1|6772	11.8567	9.56409	8.75967	8.49392	8.04334	8.27919	7.5966	8.19304	8.29915	8.21059	8.05916	8.40467
ACTB|60	11.6683	11.8548	10.5863	11.3538	11.0703	11.6568	10.6423	11.609	11.5006	11.3153	11.5489	11.0797
ALDH1L1|10840	7.21377	11.8469	8.28778	10.1403	10.1195	10.1807	1.94037	2.87168	1.22307	5.17543	7.12614	7.53459
CPS1|1373	3.9935	10.2936	10.9275	11.4911	11.1451	11.8425	3.52469	3.29936	3.75677	5.28417	5.0592	5.71855
PCSK1|5122	2.31585	2.62984	0.48025	0.592568	0.203355	0	11.8421	3.40514	2.14654	3.80327	1.89294	2.93114
HLA-A|3105	11.8392	11.1457	9.47983	9.52186	9.05857	10.5013	8.20158	10.0036	9.56178	9.47322	9.96202	9.48894
PLG|5340	8.88419	11.545	11.4538	11.834	11.4075	11.4195	0	0	0	0.0577623	0	0
FGL1|2267	10.7005	11.3271	11.3342	10.9408	10.7692	11.8115	1.30054	0	3.86794	4.45438	1.39632	0
HLA-B|3106	11.7849	10.7639	9.75897	9.5631	9.46885	11.0339	9.25044	10.2166	9.85845	10.0967	10.2527	10.0663
CYP2A6|1548	6.67077	11.7772	10.3691	11.3299	11.3974	9.47163	1.36682	1.67929	5.52833	7.24222	4.98282	4.6161
GLUL|2752	9.94535	11.759	10.2084	10.3817	9.38219	10.2051	9.16069	9.922	9.75655	10.0584	9.92012	10.3877
A1BG|1	10.4399	10.7351	9.32163	11.7322	11.1411	11.5191	5.28872	6.05029	5.25759	5.04647	4.68548	2.74683
ATF5|22809	7.32909	10.7126	11.7316	10.5307	10.3696	10.641	7.21396	7.34744	7.25118	6.84289	6.79979	6.51868
AKR1C2|1646	9.41344	11.7124	5.98896	8.43185	8.21825	9.50204	2.7524	5.37046	5.73007	6.04112	9.03961	9.78534
GATM|2628	9.79367	11.7123	9.41091	11.2806	11.1976	10.8995	5.51669	3.94401	5.37785	6.69807	6.75305	5.67932
CTSD|1509	10.598	11.6725	11.7095	10.7287	10.1889	11.0191	9.75516	9.71515	10.5035	10.1434	10.1053	9.52776
HSP90B1|7184	11.0034	11.1689	11.7031	10.3228	9.95085	10.053	9.77418	9.90738	9.53947	9.81171	9.51344	9.55409
CALR|811	10.9278	11.438	11.6976	10.5605	9.99497	10.2984	10.5041	10.1226	9.89383	9.71877	9.59302	9.35364
AGT|183	8.95066	11.5077	11.6973	11.6732	11.0201	11.4341	5.95401	2.53704	4.01902	5.46618	5.56124	4.43796
TIMP1|7076	11.6865	8.91099	6.32972	8.40021	8.95131	9.33433	9.18449	9.67586	9.037	8.79445	8.59905	7.63468
AGXT|189	8.34498	10.1083	11.6614	11.2488	10.8863	11.4646	0	0	0	0	2.85061	1.14975
SPARC|6678	8.86092	9.63168	9.05369	8.94416	8.77971	8.86799	9.96524	10.836	11.6601	10.2269	11.1064	12.0443
TPT1|7178	11.4899	11.1806	11.2843	11.5685	11.4979	11.6458	9.92383	10.7391	10.8236	11.2677	11.2646	11.2072
ITIH1|3697	10.3095	11.5257	9.56683	11.6398	11.3218	10.9998	0.500385	2.69671	0	1.13546	0.86164	0.688551
MAT1A|4143	8.56998	10.4113	9.4073	11.6397	11.3528	11.1736	5.0349	3.01829	1.65693	4.4015	2.09037	0.203355
C4BPA|722	10.9616	10.1892	11.6114	10.8878	10.5863	10.9491	0	0.261117	2.00469	4.7405	3.43298	2.49237
MT1G|4495	4.82222	5.69036	1.80041	9.50256	11.239	11.5957	6.98738	2.21025	2.17245	5.3096	4.73859	2.98741
PLIN4|729359	6.52796	6.83303	8.4602	7.05186	6.50728	7.42178	5.49852	8.29837	4.86852	8.65859	11.5905	12.1688
CP|1356	10.3784	11.314	9.7976	11.5903	11.2324	11.3845	2.85061	2.17245	5.84973	8.08593	7.32988	4.51731
DHCR24|1718	10.4966	11.5699	10.9486	10.8202	10.6314	10.8549	9.29928	9.13418	9.45752	9.55629	9.36291	8.4938
LYZ|4069	11.5673	9.46063	6.0845	6.22851	7.12206	7.88646	6.42695	8.14	7.93038	7.36078	8.00705	8.06838
GAPDH|2597	10.6444	11.2273	11.5643	10.5661	10.2166	11.0669	10.2744	10.9863	10.7444	10.5214	10.3515	9.83773
ORM2|5005	9.37538	10.506	10.1883	11.5641	11.5315	11.0748	0.796652	0	2.60967	0.592568	2.21761	0
SERPIND1|3053	9.94064	10.5369	11.5317	10.8238	10.5326	10.6096	0.203355	0	1.23529	2.52186	1.43354	2.80958
LOC96610|96610	11.5284	7.44692	7.09025	7.21296	8.53966	9.04501	8.69207	10.8082	10.251	10.1542	9.98965	7.48302
CRP|1401	7.0934	10.6566	8.75747	10.8166	11.5055	11.0579	0	0	0.883447	1.14975	0.592568	0
ASS1|445	8.72013	8.8413	9.07989	10.8413	10.8882	11.5034	5.32655	6.17315	6.68245	7.67406	8.52296	8.79433
NNMT|4837	10.4733	8.36939	4.29862	11.0913	11.4924	11.261	6.07279	8.1307	7.86727	8.99021	8.12586	8.06743
LRG1|116844	11.3045	9.47232	9.2511	10.2935	11.4903	9.97194	5.13308	7.5237	6.64226	6.74024	6.46502	3.89739
