id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000070601.8	0.40	0.54	1.27	14.05	4.44	10.56	0.32	0.13	0.02	0.12	0.34
ENSG00000070610.13	48.56	47.11	40.66	26.09	37.48	34.60	50.34	37.45	51.09	45.16	32.70
ENSG00000070614.13	66.31	102.15	81.46	19.04	44.33	108.61	35.61	37.17	25.30	51.54	128.99
ENSG00000070669.15	12.29	8.69	15.38	208.30	26.44	28.59	15.05	11.30	28.77	7.70	147.67
ENSG00000070718.10	11.81	5.79	19.39	11.74	32.53	13.81	9.29	7.73	15.64	3.31	9.70
ENSG00000070729.12	0.06	0.01	0.00	0.22	0.10	0.00	0.00	0.19	0.04	2.66	0.00
ENSG00000070731.8	22.45	163.78	0.11	0.28	1.07	0.09	14.24	7.30	0.59	15.78	0.50
ENSG00000070756.12	2312.68	4006.88	1255.63	1531.04	1979.47	3821.10	2935.89	1488.27	2100.99	4723.54	6116.37
ENSG00000070759.15	0.92	7.67	0.34	0.38	0.93	0.32	1.74	0.72	1.93	0.93	0.73
ENSG00000070761.6	36.05	18.63	58.99	32.22	39.59	27.02	35.15	29.24	92.53	36.89	62.33
ENSG00000070770.7	37.77	38.51	42.78	43.56	64.16	22.05	36.46	24.71	44.09	16.59	47.36
ENSG00000070778.11	4.40	5.03	6.31	4.19	1.65	10.98	3.51	5.18	5.86	4.16	20.84
ENSG00000070785.15	20.94	10.89	31.66	40.28	56.75	30.50	25.27	23.12	26.70	38.45	15.04
ENSG00000070814.16	54.57	19.83	53.20	37.20	46.37	69.00	66.85	17.91	60.56	88.38	59.25
ENSG00000070831.14	124.96	111.84	108.75	140.05	107.15	69.84	75.38	48.33	127.32	41.58	26.67
ENSG00000070882.11	17.70	14.54	5.68	4.82	6.22	8.59	19.35	16.38	13.39	20.16	6.39
ENSG00000070950.8	10.26	2.10	26.14	13.26	19.00	10.35	8.34	7.19	14.90	13.79	5.61
ENSG00000070961.13	8.71	9.41	20.53	31.23	14.06	16.84	12.44	20.13	25.10	4.49	1.35
ENSG00000071051.12	29.72	27.54	26.28	6.20	20.30	12.11	25.59	31.04	22.53	39.90	137.88
ENSG00000071054.14	61.94	26.77	45.83	279.28	109.78	86.05	64.37	194.46	27.29	88.75	228.82
ENSG00000071073.11	2.80	0.37	0.09	5.70	3.77	0.12	0.23	1.38	0.74	0.05	0.46
ENSG00000071082.9	1702.17	2130.94	1132.18	1885.45	988.92	1000.14	1847.15	2546.43	1505.02	3537.19	2139.12
ENSG00000071127.15	287.33	194.21	354.07	70.30	230.93	454.39	213.78	255.68	265.69	219.02	319.65
ENSG00000071189.20	10.82	9.35	8.95	11.97	11.49	7.85	9.32	13.22	2.91	14.28	6.84
ENSG00000071205.10	10.43	12.08	9.07	3.10	6.47	8.61	7.35	11.08	11.83	8.58	10.50
ENSG00000071242.10	7.94	2.39	0.20	2.61	0.44	38.11	13.16	34.27	8.19	7.02	4.90
ENSG00000071243.14	5.57	3.01	9.08	20.00	4.30	8.76	8.04	5.12	9.95	4.97	1.97
ENSG00000071246.9	2.35	1.07	4.44	1.41	2.84	0.25	0.14	0.08	1.07	0.25	10.46
ENSG00000071282.10	19.36	7.63	6.86	32.67	17.13	33.19	1.00	16.15	17.57	1.03	6.33
ENSG00000071462.10	72.29	34.90	90.06	73.21	110.90	112.72	74.12	62.83	101.24	176.31	99.65
ENSG00000071537.12	12.80	16.12	9.19	41.18	16.15	21.95	8.16	12.34	10.68	5.72	49.80
ENSG00000071539.12	37.07	14.07	73.02	79.28	102.21	47.84	40.54	12.23	48.35	36.24	14.33
ENSG00000071553.15	54.63	87.17	213.61	64.57	75.44	65.12	45.35	79.20	57.90	37.57	153.19
ENSG00000071564.13	85.50	73.69	94.37	36.03	64.90	149.26	106.87	81.35	92.89	198.91	334.24
ENSG00000071575.10	4.69	2.04	11.15	34.39	17.48	23.68	4.07	18.82	21.39	11.82	4.02
ENSG00000071626.15	87.71	64.01	98.40	49.17	93.27	92.60	102.05	74.85	105.46	154.72	170.19
ENSG00000071655.16	78.13	57.38	70.27	16.50	23.55	173.04	70.09	69.03	97.01	91.08	193.27
ENSG00000071794.14	6.34	3.13	21.24	51.04	98.57	15.17	4.85	7.05	29.33	7.77	14.06
ENSG00000071859.13	60.66	49.06	226.86	95.47	66.78	121.24	49.18	97.16	127.98	70.56	533.88
