Id	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
class	LIHC_TP	LIHC_TP	LIHC_TP	LIHC_NT	LIHC_NT	LIHC_NT	BRCA_TP	BRCA_TP	BRCA_TP	BRCA_NT	BRCA_NT	BRCA_NT
a100130426	0	0	0	0	0	0	0	0.9066	0	0	0	0
a100133144	2.31	53.59	6.86	2	1.41	4.94	16.3644	11.6228	12.0894	4.3333	4.2087	3.055
a100134869	5.69	5.41	6.14	0	2.59	1.06	12.9316	9.2294	11.0799	3.9206	2.1852	0
a10357	138.3	144.07	73.93	103.92	96.89	97.03	52.1503	154.2974	143.8643	78.9238	53.638	87.5764
a10431	1561	1297	1423	1454	1125	2128	408.076	1360.8341	865.5358	978.4127	970.7569	770.3666
a136542	0	0	0	0	0	0	0	0	0	0	0	0
a155060	217	249	336	32	7	63	1187.005	592.0218	552.7513	219.0476	136.1542	109.9796
a26823	1	3	1	0	0	0	0	0	0.4137	0.9524	0	0
a280660	0	0	0	0	0	0	0	0	0	0	0	0
a317712	0	0	0	0	0	0	0	0	0	0	0	0
a340602	0	21	0	0	0	0	1.7233	0	0	1.9048	0	0
a388795	3	0	0	0	0	0	0.3447	2.7199	2.0687	0.6349	0	0
a390284	6	4	5	5	11	3	4.1359	2.7199	4.5511	6.3492	10.9074	4.0733
a391343	0	3	0	0	0	0	0	0	0	0	0	0
a391714	1	0	3	0	0	0	0.6893	0	0	0.3175	0.3761	0.5092
a404770	0	0	0	0	0	0	0	0	0	0	0	0
a441362	0	0	0	0	0	0	0	0	0	0	0	0
a442388	0	0	0	0	0	0	0	0	0	0	0	0
a553137	138	683	57	131	91	218	3.7912	0.9066	0	8.8889	2.6328	0
a57714	700	1815	240	143	57	79	820.9773	391.6591	458.0058	243.1746	178.6554	816.7006
a645851	2	40	12	0	1	1	124.4218	34.4515	15.722	6.9841	10.1551	4.5825
a652919	0	0	1	5	0	0	25.8494	0	0	0	0	2.5458
a653553	1215	1089	402	201	237	351	289.5134	1100.6346	406.2888	170.4762	318.9469	102.3422
a728045	0	0	0	0	0	0	0	0	0	0	0	0
a728603	0	0	0	0	0	0	0	0	0	0	0	0
a728788	0	2	0	3	0	0	0	0.9066	1.2412	0	0	0
a729884	0	0	0	1	1	0	109.6015	0	34.7538	9.2063	66.9488	18.8391
a8225	1973	2600	894	634	584	873	458.3962	657.2983	786.5122	608.5714	663.4697	465.8859
a90288	31	56	7	31	13	30	40.6697	22.6655	54.1994	55.873	42.5012	44.2974
A1BG|1	34197.7	45940.47	11176.18	124518.23	68949.58	100619.73	197.0897	423.2366	191.0178	154.473	109.3484	15.7841
A1CF|29974	895	3191	1501	2969	1964	2824	0	0.9066	0	0.6349	0	0
A2BP1|54715	0	5	0	0	0	0	0	0	0	0.6349	3.7612	0.5092
A2LD1|87769	575.3	200.11	3492.56	427.02	228.29	320.22	102.9634	161.2602	62.5072	119.581	111.9699	105.5041
A2ML1|144568	0	0	2	3	0	1	1.3786	0	1.6549	16.8254	19.5581	22.9124
A2M|2	439428.37	63240.79	292445.68	118972.53	211710.65	134129.62	5798.3746	8840.3989	10960.2193	40198.2063	32634.9299	44700.9521
A4GALT|53947	123	330	86	68	156	108	68.2424	573.8894	506.4129	627.3016	924.1185	542.7699
A4GNT|51146	833	4	0	1	6	1	8.6165	0	0	1.9048	0.3761	19.3483
AAA1|404744	1	1	0	0	0	0	0.3447	0	0	0	0.3761	0
AAAS|8086	1583	1831	865	670	499	738	649.3372	723.4814	776.9963	780	815.7969	595.723
AACSL|729522	0	0	0	0	0	0	1.3786	2.7199	0	1.2698	0	0
AACS|65985	855	873	846	166	122	254	1087.3986	1533.0916	858.0885	1132.0635	2177.7151	710.7943
AADACL2|344752	0	0	0	0	0	0	0	0	0	1.2698	5.6417	7.6375
AADACL3|126767	0	1	0	0	0	0	0	1.8132	0	5.0794	34.9788	6.11
AADACL4|343066	0	0	0	1	0	0	0	0	0	0	1.5045	0
AADAC|13	2093	21030	8130	12209	9501	14665	0	0.9066	2.8962	19.6825	101.9276	619.1446
AADAT|51166	38	316	43	1769	1000	1174	5.5145	53.4905	57.0956	58.7302	250.8698	78.9206
AAGAB|79719	1639	2146	472	546	520	705	1300.3977	1360.8341	1683.4919	1448.8889	1077.9502	673.6253
AAK1|22848	1058	1098	1879	448	352	563	517.3329	568.4497	727.7617	966.9841	828.5849	1032.0774
AAMP|14	4921	6386	2084	2776	2141	3263	2053.1326	2291.9311	2762.5155	2770.7937	2588.0583	1977.5967
AANAT|15	0	2	0	0	0	0	0.3447	1.8132	0.4137	0.3175	0.3761	0
AARS2|57505	522	1381.89	590.8	313	178.89	337.99	689.8967	439.7099	431.9363	485.0413	349.5477	225.555
AARSD1|80755	1301	1795	553	644	539	757	466.668	390.7525	493.5871	692.6984	574.33	478.6151
AARS|16	10779	17236	7094	4067	3723	3751	4409.565	2556.6636	2122.8796	3063.1746	3213.9163	3248.4725
AASDHPPT|60496	1879	1981	896	998.91	1060	1132	808.9143	779.6917	665.2875	655.5016	662.3413	599.2872
AASDH|132949	221	323	220	149	161	216	277.4504	190.3898	196.5246	314.9206	256.1354	315.1731
AASS|10157	73	912	1665	3510	1631	3618	45.8396	76.1559	183.2851	592.6984	347.5317	664.4603
AATF|26574	2366	4062	988	823	774	1212	1518.9114	2097.9148	1915.1841	1138.7302	1040.7146	1019.8574
AATK|9625	94	34	16	29	27	64	619.5932	145.0589	119.9835	91.746	43.6483	30.0407
ABAT|18	2355	22765	11593	26402	20364	16433	620.7305	375.34	1721.5556	1226.3492	619.464	224.5418
ABCA10|10349	237	44	65.02	168	20	88	16.2334	27.1985	23.583	164.127	244.0997	244.3992
ABCA11P|79963	99.73	44.99	130.43	52.51	48.48	34.03	79.1509	156.0199	137.3231	151.2349	93.1453	89.2159
ABCA12|26154	0	2	0	5	0	7	321.222	0	1430.6992	194.9206	280.583	4.5825
ABCA13|154664	0	37	4	5	5	7	0	0.9066	2.4824	8.5714	3.385	9.6741
ABCA17P|650655	2	4	8	0	4	0	17.9223	12.6927	9.1022	11.1111	6.7701	4.5825
ABCA1|19	1765	2532.92	2094.93	4128.99	3677	2829.95	288.4622	689.8821	749.2635	719.9524	1714.2793	3383.7984
ABCA2|20	2575	2283	294	1489	583	1747	4507.4481	3208.5222	1375.2586	1164.7619	1581.5703	1626.2729
ABCA3|21	142	150	541	124	58	88	5470.7695	1514.0526	968.5561	1494.9206	1934.7438	933.8086
ABCA4|24	167	101	16	23	11	26	3.7912	1.8132	73.2313	153.6508	39.8684	7.6375
ABCA5|23461	1870	2188	1520.98	940	878	679	795.0934	559.3835	412.0811	626.6667	602.5388	943.9919
ABCA6|23460	808	5642	1206	4884	2750	2951	23.0921	81.5956	78.1961	335.5556	524.3065	1182.7902
ABCA7|10347	741	421	469	123	31	297	596.9491	383.4995	465.8668	387.9365	479.5487	205.7026
ABCA8|10351	6	1633	1788	1480	1074	1584	58.592	52.5839	213.4878	773.3333	1976.8688	5814.664
ABCA9|10350	350	178	778	316	93	182	37.5678	54.3971	70.3351	396.1905	1042.5952	2514.7658
ABCB10|23456	1100	1825	1581	889	634	543	532.8425	278.3318	411.6674	256.1905	325.717	374.7454
ABCB11|8647	1	4728	188	1858	694	819	0	0.9066	1.6549	1.5873	2.2567	18.8391
ABCB1|5243	3158	5473	30	1407	1450	2711	27.9174	21.7588	107.1576	468.254	152.7033	206.2118
ABCB4|5244	246	8058	1732	4589	2077	7374	14.4757	15.4125	11.5846	21.9048	22.9431	64.1548
ABCB5|340273	189	4	0	0	0	0	0.3447	4.5331	1.2412	96.8254	136.5303	56.0081
ABCB6|10058	2602.36	3848.68	1022.61	1290.6	995.54	1435.34	839.0443	640.9429	623.2768	442.2286	839.3907	715.3106
ABCB7|22	520	1537	719	594	424	608	607.6335	143.2457	354.5718	519.0476	521.2976	606.9246
ABCB8|11194	1760	2706	1880	1034	542	995	1310.7375	659.1115	952.8341	571.1111	608.5567	391.5479
ABCB9|23457	133.03	336.05	219.77	27	6	13	285.9496	269.6464	151.4233	103.9873	109.149	48.2841
ABCC10|89845	621	711	748	105	81	130	830.9724	564.8232	700.4551	365.3968	310.6723	216.9043
ABCC11|85320	32	796	88	246	88	76	92.0239	0.9066	2210.1779	439.0476	2872.4024	3.5642
ABCC12|94160	0	6	1	0	0	1	0	0	93.9181	3.4921	27.8326	0
ABCC13|150000	2	1	4	0	0	0	0	109.7008	61.2329	0	2.2567	0
ABCC1|4363	339	886	160	105	187	298	1573.3675	1601.0879	1262.3086	923.4921	1428.8669	1453.666
ABCC2|1244	4653	9537	7815	5679	3062	4991	5.1699	5.4397	17.3769	9.2063	70.3338	46.334
ABCC3|8714	4784	19774	6459	6309	2726	3943	110.2908	144.1523	1427.3893	644.7619	1081.7113	199.5927
ABCC4|10257	95	620	308	52	46	119	28.6067	123.3001	439.3877	138.0952	200.094	113.5438
ABCC5|10057	400	1436	301	158	97	237	740.3272	3300.9973	1319.818	739.6825	668.7353	592.1589
ABCC6P1|653190	294	841	1130	946	285	751	6.5485	1.8132	0.8275	6.3492	18.8058	12.7291
ABCC6P2|730013	327	344	1076	248	130	329	40.6697	3.6265	3.3099	22.8571	61.307	70.7739
ABCC6|368	2094	7376	9817	5458	3324	4408	158.1984	18.1324	11.1709	141.5873	540.4795	704.6843
ABCC8|6833	0	7	8	1	1	1	173.0187	96.1015	62.8879	307.3016	68.4532	5.0916
ABCC9|10060	76	219	56	2423	2496	1715	79.2715	150.4986	182.8713	268.254	510.3902	3597.7597
ABCD1|215	3020	1362	1033	414	228	497	929.5448	940.1632	353.7443	243.8095	653.6906	565.6823
ABCD2|225	36	4	8	3	5	1	1.7233	21.7588	8.6885	26.3492	227.9267	1258.1466
ABCD3|5825	3924	6852	2460	5890	6271	5384	2396.4128	775.1587	1448.0761	3005.7143	1226.8923	1147.1487
ABCD4|5826	951	1847	1255	1244	806	868	322.256	308.2502	589.1601	790.1587	759.3794	661.4053
ABCE1|6059	2427	2171	1014	1690	1526	1814	1314.1841	1295.5576	1297.8899	1261.2698	1050.4937	1162.4236
ABCF1|23	2754	5434	2167	1854	1658	2312	2095.181	1418.8577	2006.6198	1614.2857	1677.8561	1554.9898
ABCF2|10061	1457	2588	570	504	714	878	1557.8579	1404.3518	1347.952	1416.1905	1202.0686	1101.3238
ABCF3|55324	1679	3081	1978	1673	1093	1770	1180.4565	1229.3744	1158.4609	1116.8254	1102.0216	942.9735
ABCG1|9619	1245	206	2378	133	180	299	1020.1901	585.6754	515.1014	507.619	725.1528	281.5682
ABCG2|9429	202	2802	133	1079	1177	981	88.2327	24.4787	59.578	229.2063	179.4076	146.1303
ABCG4|64137	2	0	5	3	5	5	6.2039	1.8132	2.0687	5.0794	3.0089	2.5458
ABCG5|64240	1120	3098	1840	1626	970	2538	0.3447	2.7199	3.7236	1.2698	1.8806	1.0183
ABCG8|64241	660	3354	3104	2201	1451	2544	0.6893	0	0	0	2.2567	1.0183
ABHD10|55347	741	1355	1696	1131	937	1200	1052.588	448.7761	400.9102	646.9841	665.3503	674.1344
ABHD11|83451	470	1138	1018	242	269	373	541.8037	2033.5449	2388.9119	685.0794	601.0343	150.7128
ABHD12B|145447	0	13	6	7	2	2	0.6893	1.8132	0.8275	2.8571	7.5223	22.9124
ABHD12|26090	3628	3251	1457	1100	652	1732	2687.3048	1476.8812	1176.2516	1099.3651	1466.8547	1044.2974
ABHD13|84945	655	505	447	585	683	818	298.8192	251.1333	336.3674	498.0952	428.7729	382.3829
ABHD14A|25864	343	1159	407.37	453	328	522.5	252.2903	301.9039	338.0223	320.3175	452.0921	391.9196
ABHD14B|84836	3283	6838	2131	6454	4791	5597	1666.7701	1679.9637	1738.9326	2236.1905	3472.3084	3557.5356
ABHD15|116236	493	686	808	952	926	1112	390.1538	200.3626	191.9735	360.3175	868.8293	1525.4582
ABHD1|84696	1	145	8	78	48	87	28.9513	1.8132	14.8945	26.3492	35.7311	41.7515
ABHD2|11057	7378	34539	7711	12751	9418	15164	13890.7845	2171.3509	7661.1502	2079.3651	2360.8839	2742.8717
ABHD3|171586	4154	1727	2229	735	859	1169	270.2125	174.0707	539.0981	341.5873	460.3667	272.9124
ABHD4|63874	1312	2726	1085	509	509	663	869.5742	1907.5249	943.3182	870.4762	1226.1401	2185.8452
ABHD5|51099	712	1416	601	991	769	912	623.8325	625.5666	581.2991	916.5079	893.653	1917.0061
ABHD6|57406	319	1549	328	1808	1491	2198	146.48	87.0354	69.5077	172.0635	430.6535	552.9532
ABHD8|79575	683	1543	948	487	309	536	495.2747	339.0752	337.1949	332.0635	278.7024	134.9287
ABI1|10006	1921.35	3145.45	899.2	864.8	773.46	1064.79	803.6858	1311.7588	1064.9566	1177.0317	1125.6869	1145.112
ABI2|10152	1010	1048	256	350	487	519	1250.7669	922.0308	1453.8684	1523.1746	940.6676	648.167
ABI3BP|25890	66	122	13	46	211	78	140.9655	378.9665	463.3844	1075.5556	1877.1979	5065.1731
ABI3|51225	654	378	148	112	204	332	154.0625	227.5612	228.3823	350.1587	269.6756	150.7128
ABL1|25	1505	1885	812	710	424	784	2065.1957	3137.806	2684.7331	2372.0635	2778.7494	2913.442
ABL2|27	894	1026	515	468	385	470	731.366	1085.2221	997.1038	942.2222	727.4095	1094.1955
ABLIM1|3983	2387	2643	1026	2334	1575	1935	2876.5225	733.4542	964.005	3618.4127	6155.5242	10234.7251
ABLIM2|84448	118	273	88	33	31	29	112.7034	45.3309	57.0956	135.2381	124.4946	117.1079
ABLIM3|22885	1935	4560	2561	5072	4028	4132	4074.5566	707.1623	212.2466	1340.3175	2132.9572	3578.4114
ABO|28	4	2	1	0	0	3	56.524	0.9066	4.5511	61.5873	19.5581	16.8024
ABP1|26	24	4931	1	1050	13	5	2.068	19.039	13.6533	13.3333	5.2656	16.8024
ABRA|137735	1	0	0	0	0	0	0.3447	0.9066	0	1.9048	1.8806	0.5092
ABR|29	833	759	406	213	202	398	3161.2107	2216.6818	1456.3508	2407.9365	2107.3813	1561.609
ABT1|29777	1363	1710	797	697	787	1006	546.2842	635.5394	481.175	648.5714	592.0075	419.0428
ABTB1|80325	1229	2072	270	457	276	1000	638.9975	700.816	484.8986	701.2698	895.9097	817.2098
ABTB2|25841	100	1327	430	693	164	483	59.2813	75.2493	59.578	68.254	144.4288	97.7597
ACAA1|30	4359	8230	9195	18036	15087	30364	781.6862	1330.9157	1359.5366	1996.1905	2230.3714	1522.4033
ACAA2|10449	8660	29097	13250	17837	19683	30615	768.5892	1383.4995	988.8291	1571.1111	2839.3042	4564.664
ACACA|31	1935	2860	1530	946	663	773	3359.3895	3602.9012	3386.4295	1986.9841	2153.6436	3095.723
ACACB|32	782	6351	4445	5090	2982	4985	479.7651	272.8921	146.4626	1132.381	5794.0762	15134.9287
ACAD10|80724	1024	4467	2747	1841	1006	1246	505.6145	479.6011	452.2135	546.9841	555.5242	631.3646
ACAD11|84129	649	2734	2604.97	5795	4522	6139	550.6407	86.1287	419.7642	514.5873	600.2821	1608.4521
ACAD8|27034	586	1744	2384	842	639	866	480.1097	780.5984	532.4783	703.1746	602.5388	456.2118
ACAD9|28976	1407.92	3597.39	1177	1440	993	1410.99	850.4491	904.1704	1034.2904	902.5333	1193.0343	1304.4756
ACADL|33	4	1261	10	899	633	1031	0.6893	0	18.6181	33.9683	256.8876	680.2444
ACADM|34	2782	8410	5406	4969	8161	6301	1260.0727	455.1224	954.9028	1023.8095	1466.8547	2004.0733
ACADSB|36	1318	12493	7144	23401	25977	14598	2135.8507	1947.4161	2169.218	2791.746	1596.2388	1428.7169
ACADS|35	2024	3360	5677	8063	5823	9293	167.8488	395.2856	154.3235	824.4444	1645.8862	1576.3747
ACADVL|37	24831.99	23063.89	23117.92	18120.95	10164	19452	3086.7231	5205.8024	5250.7116	8942.1492	8381.6756	7975.0255
ACAN|176	47	47	78	4	1	12	25.8494	102.4479	31.8577	61.5873	7.1462	6.11
ACAP1|9744	1241	131	37	49	32	161	33.4319	310.0635	150.5999	146.6667	189.5628	38.6965
ACAP2|23527	1007	2076	993	663	570	728	1366.2276	711.6954	742.2424	899.3651	1035.449	1550.4073
ACAP3|116983	1504.53	2495.16	2530.4	586.05	280	778.04	2181.6628	1969.3019	1095.0683	502.2603	584.1091	429.2261
ACAT1|38	4809	17689	15553	22626	13302	19830	2413.3011	2358.1142	698.3864	1388.254	2214.1984	3866.0896
ACAT2|39	2351.58	3787.63	1361.31	4039.89	4771.89	5037.46	234.5059	732.9374	727.7576	432.9524	318.4316	337.9124
ACBD3|64746	2028	2640	2431	1188	1332	1100	1473.4165	1472.3481	1493.1734	1048.8889	1149.4123	1124.2363
ACBD4|79777	538	3387	656	1860	1059	2385	316.7415	191.2965	183.6988	361.2698	398.3075	359.9796
ACBD5|91452	3364	4703	3328	2272	2117	2436	873.0208	572.9828	681.4233	621.9048	679.6427	1163.9511
ACBD6|84320	867	575	487	294	238	456	299.1639	916.5911	782.3748	534.6032	454.3488	368.6354
ACBD7|414149	5	60	13	1	2	10	25.8494	39.8912	23.9967	33.6508	19.9342	8.6558
ACCN1|40	1	0	1	4	2	3	73.0677	1.8132	0.4137	8.254	3.7612	0
ACCN2|41	12	121	11	3	5	13	452.8817	54.3971	84.8159	130.4762	68.8293	79.4297
ACCN3|9311	23	88	4	5	0	10	136.8296	42.6111	153.4961	7.9365	8.6507	10.1833
ACCN4|55515	0	0	0	0	0	0	2.4126	2.7199	2.8962	1.9048	4.1373	0
ACCN5|51802	0	5	1	0	0	0	0.3447	0.9066	0	0	0	0
ACCSL|390110	1	0	0	0	0	0	0.6893	0	0	0	0	0
ACCS|84680	753	710	91	226	127	356	381.5373	929.2838	260.24	608.254	450.2116	335.5397
ACD|65057	707	1044	184	189	163	297	611.4248	708.9755	338.0223	453.6508	356.1824	206.2118
ACE2|59272	7	6	3	147	94	149	0.6893	0	8.2747	11.1111	13.5402	49.389
ACER1|125981	0	0	0	0	0	7	5.1699	3.6265	4.1374	0.6349	1.5045	0
ACER2|340485	8	25	26	49	50	26	72.3784	59.8368	141.084	96.1905	122.2379	349.2872
ACER3|55331	204	421	44	155	151	246	450.1244	147.7788	179.9752	297.7778	352.0451	976.0692
ACE|1636	282	443	481	40	56	107	3401.0933	407.0716	528.7547	506.6667	1177.6211	1081.9756
ACHE|43	55	61	414	28	60	53	10.6844	9.0662	11.5846	22.5397	49.6474	16.8024
ACIN1|22985	3437	4722	2974	1368	1593	2016	3280.4627	4287.398	4002.4824	3377.1429	2817.8655	2411.9145
ACLY|47	3499	5655	3134	1656	1266	1951	7481.1644	7271.0789	3232.9334	3405.7143	3383.921	2682.7902
ACMSD|130013	1001	2393	1102	2937	2604	3684	193.3536	4.5331	1.2412	26.3492	9.4029	0
ACN9|57001	320	682	643	195	246	309	194.7322	89.7552	67.0252	176.1905	146.6855	125.2546
ACO1|48	2936	5616	12531	6702	5420	9029	807.5356	737.9873	880.0165	1349.8413	4737.9408	11869.6538
ACO2|50	3685.36	7106.05	17665.59	3574.21	2582.03	4465.63	2344.1177	1949.4288	3210.9723	2553.8571	3772.0733	4526.8839
ACOT11|26027	14	17.96	0	12.1	6.26	19.02	256.0298	68.903	23.1692	48.8889	42.0235	8.4521
ACOT12|134526	122	3093	769	2734	1583	4238	0	0.9066	0	0	0	0
ACOT13|55856	2587.89	2539.36	2114.83	2791.14	2272.48	3670.89	647.6932	664.9955	523.6409	631.0794	700.1561	945.6314
ACOT1|641371	938	5889	1410	4733	1898	5062	376.7121	592.9284	717.832	672.6984	1592.1016	1888.4929
ACOT2|10965	581	2833	872	2531	998	3153	362.5811	370.8069	507.2404	391.4286	928.2558	1412.9328
ACOT4|122970	636	687	189	539	454	537	324.324	247.5068	438.9739	203.4921	271.9323	311.609
ACOT6|641372	6	30	15	34	30	20	4.4806	5.4397	0.8275	3.1746	7.1462	26.9857
ACOT7|11332	1717	1197	772	605	568	1026	910.5886	1055.3037	743.0699	461.5873	351.669	222.5051
ACOT8|10005	802.79	1335.62	493.7	478.35	407.85	563	320.9153	463.4089	243.4712	294.5111	253.8298	183.442
ACOT9|23597	940	1410	64	343	270	510	318.8094	559.3835	539.0981	415.873	593.1359	687.8819
ACOX1|51	5396	15546.21	11201.7	12585.35	9998	14752.48	1284.1092	1175.1949	2398.9077	1376.7968	2953.0569	4675.5143
ACOX2|8309	330	7254	3139	6632	4548	6732	110.6355	1254.7597	75.3	332.381	399.0597	637.9837
ACOX3|8310	687	679	1261	1193	767	831	739.6378	367.1804	629.7062	654.2857	780.8181	490.3259
ACOXL|55289	6	2	0	2	0	0	5.5145	0	1.2412	1.2698	1.5045	3.055
ACP1|52	3049	3544	3131	2245	1869	2437	748.9436	1395.2856	1584.609	1268.254	1117.8185	1002.0367
ACP2|53	3483	3920	7794	2868	1999	3791	1194.5771	1000.9066	1077.7824	1187.3016	1545.4631	1126.2729
ACP5|54	4426	3923	3121	1751	560	1755	1256.6261	3617.4071	456.7646	1320.9524	2271.7442	1047.8615
ACP6|51205	443	737	294	472	318	483	322.9453	180.417	339.2635	205.0794	555.9003	160.387
ACPL2|92370	151	786	257	114	147	154	488.7262	143.2457	398.4278	488.254	344.8989	264.7658
ACPP|55	12	3	1	1	1	0	32.7426	52.5839	22.3417	36.5079	56.0414	20.8758
ACPT|93650	0	1	16	0	0	0	1.034	0	2.0687	0	0	0
ACRBP|84519	26	86	8	9	8	12	24.8154	26.2919	32.6851	24.7619	33.0983	50.4073
ACRC|93953	59	76	68	5	3	13	12.7524	25.3853	16.5494	26.9841	14.6685	24.9491
ACRV1|56	3	2	1	2	0	0	1.7233	5.4397	0	0.9524	0	0
ACR|49	0	6	1	13	6	11	1.034	0.9066	2.8962	4.4444	8.2746	7.6375
ACSBG1|23205	0	14	2	7	4	1	9.9951	4.5331	6.6198	13.3333	78.9845	18.3299
ACSBG2|81616	0	3	0	0	3	0	4.1359	0	3.3099	7.619	5.0776	3.5642
ACSF2|80221	1152	6362	1609.08	2383	720	2578	129.5917	137.806	1556.1523	1588.5714	1803.4791	1517.3116
ACSF3|197322	778	1770	656	875	636	1149	720.3369	519.4923	312.3707	472.381	383.2628	279.5316
ACSL1|2180	9921	18622	30644	74260	42689	43795	1307.2909	1622.8468	2482.4162	2680.9524	13601.8806	41042.2607
ACSL3|2181	3820	5608	2901	3202	2398	3761	4634.6272	1857.6609	3735.2089	3615.873	5552.2332	1933.8086
ACSL4|2182	64160	8487	5555	2633	456	626	169.5721	446.0562	548.614	1052.6984	1574.8002	2809.5723
ACSL5|51703	5334	3292	287	3690	3207	6924	77.5482	306.437	271.8246	857.7778	1032.4401	954.6843
ACSL6|23305	23	114	501	82	7	40	89.2666	2.7199	4.5511	5.7143	5.6417	1.5275
ACSM1|116285	1401	339	2209	11	45	512	16.199	55.3037	2093.0906	34.9206	5884.3441	0.5092
ACSM2A|123876	367	13175	12358	25481	14759	11504	0.3447	0	0.4137	5.3968	1.1283	5.6008
ACSM2B|348158	514	21661	10703	18890	11516	9990	0	0	0	0.9524	6.7701	1.5275
ACSM3|6296	79.43	1594.18	676.14	3196.62	3023.98	3182.42	3.1019	14.515	182.077	186.9556	511.7931	11.1965
ACSM4|341392	0	0	0	0	0	1	0.3447	0	0	0	0	0
ACSM5|54988	52	10994	165	11385	6164	5475	7.5825	29.9184	11.1709	97.4603	387.4001	1359.4705
ACSS1|84532	1329	708	269	236	180	286	672.4294	373.5267	604.4683	1026.9841	992.9478	338.5947
ACSS2|55902	2915	4410	1783	5270	3348	4966	1143.2333	1190.3898	647.0832	1106.0317	2965.3032	6902.7495
ACSS3|79611	305	3548	4	2472	883	1333	237.1253	832.2756	335.1262	246.0317	527.3155	1563.6456
ACTA1|58	9	1	3	0	3	3	2.068	7.2529	28.5478	6.6667	61.6831	1.5275
ACTA2|59	4124.54	4900.69	2701.54	1260.84	1504.17	2506.74	3779.3563	6801.9492	13933.525	44140.0794	16771.4227	3202.6578
ACTBL2|345651	1	1	0	0	0	0	2.068	0	0.8275	1.5873	9.0268	0
ACTB|60	116804	140756	39589	85289	64235	115473	41867.0858	110078.8758	98775.7551	82066.6667	103656.9817	64842.668
ACTC1|70	0	2	8	0	1	1	7.2378	2.7199	0	17.4603	1.1283	2.5458
ACTG1|71	81732	64281	37330	42819	69270	47418	53008.5269	101164.0979	177436.4915	56108.5714	60421.6267	32175.1527
ACTG2|72	182	24	290	4	35	13	252.6349	83.4089	2005.3786	8744.127	4360.3197	181.7719
ACTL6A|86	787	1748	458	380	354	458	1448.601	1275.612	1170.4592	701.2698	615.7029	572.8106
ACTL6B|51412	0	0	0	0	0	0	133.0383	0	0	0	0	0
ACTL7A|10881	0	0	0	0	0	0	0.6893	0	0	0	0	0
ACTL7B|10880	1	0	0	0	0	0	0.3447	0	0.8275	0	0.3761	0
ACTL8|81569	0	0	44	0	0	1	2.068	20.8522	65.3703	0	1.1283	0
ACTL9|284382	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1|87	3964	8518	4383	2412	3870	4028	5449.056	5663.6446	9787.7534	10773.9683	7675.7875	5582.9939
ACTN2|88	5	140	76	5	2	25	3.1019	8.1596	0	0.9524	0.3761	1.5275
ACTN3|89	2	0	2	2	0	1	1.3786	1.8132	2.8962	2.2222	3.385	1.5275
ACTN4|81	8467.82	16160.61	14845.87	7180.92	5612	8666.81	7890.1745	11194.4062	12244.5056	11032.9556	11164.9459	10318.5183
ACTR10|55860	1707	1583	1169	785	673	911	850.2733	572.0762	956.5577	1279.3651	1131.3587	1080.9572
ACTR1A|10121	4041	2951	2757	2079	1799	2911	2475.3397	1905.7117	3710.7985	2555.5556	3693.465	3701.1202
ACTR1B|10120	1728	2569	1931	1543	1071	1395	1396.9022	1794.1976	1174.1829	1724.127	1599.6239	1330.4481
ACTR2|10097	6392	9379	6749	4061	4147	5154	4257.2258	5219.4016	4937.9396	3920	4545.3691	5954.6843
ACTR3B|57180	263	363	316	128	190	200	359.8238	153.2185	135.2917	272.381	130.5125	80.9572
ACTR3C|653857	50	232	155	252	200	140	21.0242	19.9456	43.4423	44.127	25.5759	25.4582
ACTR3|10096	5244	5634	2212	1666	2748	2530	1979.031	3279.2384	3657.4266	2692.6984	2759.1913	2766.8024
ACTR5|79913	236	555	121	120	87	114	367.0616	184.9501	281.7542	219.6825	199.3418	131.8737
ACTR6|64431	1642	952	297	241	342	508	434.9594	517.6791	415.8047	592.0635	484.4382	378.3096
ACTR8|93973	472	790	266	403	238	306	384.6392	564.8232	390.1531	415.5556	404.3253	456.2118
ACTRT1|139741	1	0	0	0	0	0	0.3447	0	0	0	0	0.5092
ACTRT2|140625	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1B|91	2654	2847	3316	1392	2099	1338	1394.4896	940.1632	1240.3806	1079.3651	1012.882	982.6884
ACVR1C|130399	51	19	101	72	59	168	9.6504	11.786	6.206	57.7778	761.26	3481.6701
ACVR1|90	925	1366	479	841	857	587	465.9787	590.2085	1112.1225	1210.1587	998.2134	992.3625
ACVR2A|92	537	598	271	389	456	436	212.6545	234.8141	338.8498	447.9365	344.5228	452.6477
