Id	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
class	LIHC_TP	LIHC_TP	LIHC_TP	LIHC_NT	LIHC_NT	LIHC_NT	BRCA_TP	BRCA_TP	BRCA_TP	BRCA_NT	BRCA_NT	BRCA_NT
WDR63|126820	3	1	0	1	2	0	5.5145	0	0.4137	16.1905	3.0089	4.5825
WDR64|128025	2	1	4	1	1	1	0	0	0.8275	0.9524	1.8806	1.5275
WDR65|149465	0	23.87	1.19	14	9	7	9.9951	0.9066	19.4456	12.0635	7.1236	0.5092
WDR66|144406	3	9	2	30	17	42	125.8005	78.8758	47.5796	47.619	32.346	21.8941
WDR67|93594	312	318	159	35	16	66	174.3974	215.7752	128.2582	98.4127	87.2591	124.7454
WDR69|164781	1	0	0	0	0	0	0	0	0	0.9524	1.1283	1.5275
WDR6|11180	3465.91	3863.8	1308.75	2127.46	1295.03	2408.9	7798.7055	6306.5277	5204.5221	3859.0603	3434.0874	1321.8788
WDR70|55100	505	1019	313	303	246	400	484.5903	575.7026	457.1783	635.873	518.2887	507.1283
WDR72|256764	4997	348	119	1706	3249	1717	3667.1699	44.4243	1.2412	31.4286	15.0447	10.6925
WDR73|84942	306.62	529.35	244.42	161.2	193.82	242.08	492.9035	361.5413	442.8672	378.7778	286.9055	186.6242
WDR74|54663	2696	1932	332	1193	686	1026	1164.9468	1129.6464	477.8651	587.619	551.0108	288.6965
WDR75|84128	1011	1475	491	434	481	746	654.5071	754.3064	1334.2987	820	558.157	670.5703
WDR76|79968	227	856	36	17	15	13	458.3962	164.0979	158.0472	93.3333	67.3249	69.2464
WDR77|79084	1302	1766	218	574	557	726	572.4783	660.0181	772.8589	639.6825	706.347	501.0183
WDR78|79819	11	22	27	25	63	27	71.3444	59.8368	143.1527	116.8254	72.2144	48.8798
WDR7|23335	386	903	374	677	535	659	693.4536	328.1958	445.5937	517.1429	611.1895	899.6945
WDR81|124997	3309	2690	1895	1864	1278	1736	1117.3839	851.3146	762.5155	1285.3968	1099.3888	959.776
WDR82|80335	2432	3274	983	1706	1890	1608	2133.7828	2892.1124	2613.5705	3011.4286	2700.5172	3242.8717
WDR83|84292	468.21	254	242.01	142.1	114	157	199.2576	232.2303	287.559	173.3333	168.9591	134.9287
WDR85|92715	602	465	167	93	120	167	321.9113	817.7697	395.9454	363.4921	252.3742	181.2627
WDR86|349136	5	21	10	12	2	46	20.3349	23.5721	60.4055	196.7111	125.6229	16.8024
WDR87|83889	0	1	0	3	0	0	3.1019	1.8132	1.6549	0.3175	1.1283	0
WDR88|126248	2	14	9	1	1	1	10.6844	19.9456	5.3786	2.2222	5.6417	0.5092
WDR89|112840	497	686	459	280	459	466	344.3142	300.0907	308.6471	302.8571	290.362	214.3585
WDR8|49856	851	868	279	170	158	173	719.9923	553.9438	477.4514	368.8889	343.3945	225.5601
WDR90|197335	402	643	445	130	71	219	2254.4134	1912.058	1084.4022	393.0159	301.6455	62.1181
WDR91|29062	614	1350	997	274	297	339	398.4256	430.6437	318.5767	515.873	454.725	374.7454
WDR92|116143	165	428	256	135	119	157	215.7564	236.6274	241.2081	279.0476	245.228	268.3299
